model,datasets,Platform,Modeltype,ARI,NMI,CHAOS,PAS,Time,Memory,CellCount,GeneCount,AllCount
Banksy,BaristaSeq,R,Sta,0.605510552569882,0.611450149798369,0.0528280422228026,0.073251035969287,3.33315801620483,8.40976715087891,5257,79,415303
CellCharter,BaristaSeq,Python,DL,0.460785006181938,0.495286815062672,0.0644911099536677,0.212323547153011,54.3734300136566,3241.5703125,5257,79,415303
CN,BaristaSeq,R,Sta,0.486668615632949,0.570621953640216,0.0526221154008765,0.0957034756294935,1.13116717338562,992.39453125,5257,79,415303
GraphST,BaristaSeq,Python,DL,0.546968621313541,0.616436943171286,0.0503667431136604,0.0432007855723695,22.2614250183105,3916.22265625,5257,79,415303
GraphSTwithPASTE,BaristaSeq,Python,DL,0.607626889644972,0.64956491428703,0.0507764479597984,0.0383840858446893,NA,NA,5257,79,415303
MENDER,BaristaSeq,Python,DL,0.700452600460065,0.71359389375683,0.0508205819650439,0.0190274820802467,16.8790667057037,981.28515625,5257,79,415303
NicheCompass,BaristaSeq,Python,DL,0.145305927655056,0.240679000492815,0.0656602404508616,0.392092555509773,27.7936692237854,883.76171875,5257,79,415303
Spado,BaristaSeq,R,Sta,0.37714717387928,0.496579537838763,0.0485837473192326,0.0109894149969343,132.425598144531,213.46949005127,5257,79,415303
Banksy,DLPFC_sample1,R,Sta,0.45817296524506,0.561121521376783,0.0605878432195714,0.176728374228494,62.260370016098,552.755798339844,17985,33538,603180930
CellCharter,DLPFC_sample1,Python,DL,0.386768835618491,0.570861048754766,0.055567817023778,0.0380599124157551,539.268182992935,5966.08984375,17985,33538,603180930
CN,DLPFC_sample1,R,Sta,0.340963739644519,0.508320304487575,0.0556292313402926,0.0600504126766433,1.44548606872559,3060.796875,17985,33538,603180930
GraphST,DLPFC_sample1,Python,DL,-0.000786559813862875,0.042095139964165,0.0559368873478191,0.0314833906132967,249.831322908401,18777.2265625,17985,33538,603180930
GraphSTwithPASTE,DLPFC_sample1,Python,DL,0.0934756357431056,0.210375842190679,0.0555545163983872,0.0386774017394772,NA,NA,17985,33538,603180930
MENDER,DLPFC_sample1,Python,DL,0.200310226433417,0.377607313056171,0.0555003447460215,0.0151262843719084,99.1387844085693,6013.18359375,17985,33538,603180930
NicheCompass,DLPFC_sample1,Python,DL,0.428846444740246,0.53759304347605,0.0555899688329812,0.0457812217581,71286.5648169518,28024.015625,17985,33538,603180930
Spado,DLPFC_sample1,R,Sta,0.36481098767047,0.533933613316467,0.0552531848091627,0.0316447585002194,1632.2106924057,2475.4418182373,17985,33538,603180930
Banksy,DLPFC_sample2,R,Sta,0.508862846886854,0.593970209936558,0.0616781383487478,0.0576767937439134,52.2195370197296,464.303504943848,15101,33538,506457338
CellCharter,DLPFC_sample2,Python,DL,0.353685413532221,0.493499901840249,0.0604260424555178,0.0477571204220484,496.587084770203,5558.9375,15101,33538,506457338
CN,DLPFC_sample2,R,Sta,0.3367600341435,0.475426835070449,0.0612485093977794,0.0722338952545151,0.722460985183716,3072.23046875,15101,33538,506457338
GraphST,DLPFC_sample2,Python,DL,0.595725024457271,0.485405369631086,0.0603103394797998,0.043196443886478,174.150786161423,15364.1015625,15101,33538,506457338
GraphSTwithPASTE,DLPFC_sample2,Python,DL,NA,NA,NA,NA,NA,NA,15101,33538,506457338
MENDER,DLPFC_sample2,Python,DL,0.438061846506531,0.482848471778276,0.0604798137514125,0.0149947508159348,33.3325126171112,5206.421875,15101,33538,506457338
NicheCompass,DLPFC_sample2,Python,DL,0.104972030774943,0.173626698062959,0.0650486371019312,0.467909591884926,45368.9034016132,24884.8203125,15101,33538,506457338
Spado,DLPFC_sample2,R,Sta,0.394968620803613,0.486827220824387,0.0599843782884452,0.0258566041341726,1156.33894085884,1746.24043273926,15101,33538,506457338
Banksy,DLPFC_sample3,R,Sta,0.588084411931735,0.644478846832829,0.0637691063585316,0.0521797307599594,36.3323504924774,437.988433837891,14243,33538,477681734
CellCharter,DLPFC_sample3,Python,DL,0.414814824595751,0.568097768029352,0.0615001940052634,0.0305238443419386,448.701041221619,5308.08984375,14243,33538,477681734
CN,DLPFC_sample3,R,Sta,0.302624716556327,0.482228312780772,0.0614958035110762,0.0580241977455041,1.435382604599,2558.26953125,14243,33538,477681734
GraphST,DLPFC_sample3,Python,DL,0.2309347962075,0.377455771446669,0.0611796206421865,0.0379513193886137,1629.97983574867,13855.96875,14243,33538,477681734
GraphSTwithPASTE,DLPFC_sample3,Python,DL,0.365913227855746,0.55356902835562,0.0610449048411385,0.0325212629890272,NA,NA,14243,33538,477681734
MENDER,DLPFC_sample3,Python,DL,0.267159036971133,0.417726128311669,0.0617565174812076,0.00839705120280247,56.1055114269257,4541.5234375,14243,33538,477681734
NicheCompass,DLPFC_sample3,Python,DL,0.0436341300705143,0.102594499804208,0.0662974093857492,0.437838776990314,5967.23654222488,24248.1015625,14243,33538,477681734
Spado,DLPFC_sample3,R,Sta,0.456059774082494,0.589522271541408,0.0609379352124473,0.0294396575127632,965.196537971496,1554.28224945068,14243,33538,477681734
Banksy,MERFISH,R,Sta,0.466895224753128,0.537640555817229,0.0300494785251085,0.0584012803961626,23.1200866699219,72.565788269043,28317,155,4389135
CellCharter,MERFISH,Python,DL,0.396041012532211,0.539336221496812,0.0309193202727329,0.0845861258490339,853.017982006073,3457.69140625,28317,155,4389135
CN,MERFISH,R,Sta,0.126223684633566,0.244310127394736,0.036046843555311,0.367353779881956,2.54907870292664,505.703125,28317,155,4389135
GraphST,MERFISH,Python,DL,0.23944880524276,0.406369710535226,0.0286244800842897,0.0298345537683073,324.661397695541,28245.76171875,28317,155,4389135
GraphSTwithPASTE,MERFISH,Python,DL,0.233931459884951,0.374923027316137,0.0294811022445832,0.0504803049782087,NA,NA,28317,155,4389135
MENDER,MERFISH,Python,DL,0.232253721010186,0.305924609629466,0.0304020342602921,0.0788576692311943,249.971083402634,1044.4921875,28317,155,4389135
NicheCompass,MERFISH,Python,DL,0.508922630853254,0.557543249618948,0.0308252963488799,0.0942629030576467,837.026936531067,1137.41015625,28317,155,4389135
Spado,MERFISH,R,Sta,0.194787668930145,0.31608083076522,0.0314970149936053,0.149114834997122,3631.02477383614,6128.03467559814,28317,155,4389135
Banksy,MERFISH_Brain_S2,R,Sta,0.61797816979292,0.639107795724636,0.016744096110533,0.0637541457584863,35.5175752639771,238.290885925293,40484,374,15141016
CellCharter,MERFISH_Brain_S2,Python,DL,0.465367816484755,0.546012707054964,0.0188206368947699,0.254099574696856,742.282942533493,3633.9609375,40484,374,15141016
CN,MERFISH_Brain_S2,R,Sta,0.363617437615261,0.456588361789631,0.0168959327769496,0.223755306007959,0.719519138336182,552.12109375,40484,374,15141016
GraphST,MERFISH_Brain_S2,Python,DL,0.464098959212754,0.583173193721585,0.0144084025028474,0.0451463890923595,578.277340650558,54177.21484375,40484,374,15141016
GraphSTwithPASTE,MERFISH_Brain_S2,Python,DL,NA,NA,NA,NA,NA,NA,40484,374,15141016
MENDER,MERFISH_Brain_S2,Python,DL,0.552776913640078,0.607741875403329,0.0150955315983019,0.0644601449679539,396.795398235321,1705.7734375,40484,374,15141016
NicheCompass,MERFISH_Brain_S2,Python,DL,0.577334861103129,0.59068432729407,0.0155350968439069,0.0948459374278538,1068.99306249619,1565.7109375,40484,374,15141016
Spado,MERFISH_Brain_S2,R,Sta,0.562315498736591,0.594904842499099,0.0147179981112924,0.0554898820539839,7898.62128472328,12519.3048400879,40484,374,15141016
Banksy,MERFISH_Brain_S3,R,Sta,0.577087495540245,0.659641297683104,0.0185247938029564,0.123356369231604,34.7212829589844,208.208053588867,35347,374,13219778
CellCharter,MERFISH_Brain_S3,Python,DL,0.655603364016393,0.663119580637639,0.0168580431273612,0.0772440993062869,597.995925426483,3502.19921875,35347,374,13219778
CN,MERFISH_Brain_S3,R,Sta,0.370564777203161,0.515151955278296,0.0172393660400007,0.171304849001862,0.6645667552948,543.9140625,35347,374,13219778
GraphST,MERFISH_Brain_S3,Python,DL,0.538037391851304,0.642977043968054,0.0151068080000618,0.0257888069136575,475.506188869476,42202.8984375,35347,374,13219778
GraphSTwithPASTE,MERFISH_Brain_S3,Python,DL,NA,NA,NA,NA,NA,NA,35347,374,13219778
MENDER,MERFISH_Brain_S3,Python,DL,0.564334793658675,0.598000609292084,0.0157348415205375,0.0554747333779124,426.781257867813,1163.79296875,35347,374,13219778
NicheCompass,MERFISH_Brain_S3,Python,DL,0.694975718052884,0.686005515933047,0.0156956810014846,0.0573184220533631,1067.82232689857,1503.14453125,35347,374,13219778
Spado,MERFISH_Brain_S3,R,Sta,0.425542704120816,0.559530923123313,0.0155514560779978,0.0477117687977185,5674.41848230362,9545.51831054688,35347,374,13219778
Banksy,MERFISH_Brain_S4,R,Sta,0.677751454411391,0.65115923747207,0.0246168636881387,0.0905831675004799,26.6527128219604,185.697135925293,31508,374,11783992
CellCharter,MERFISH_Brain_S4,Python,DL,0.567746300117152,0.557043489357651,0.0243369012219811,0.198301035607885,750.490130186081,3560.8515625,31508,374,11783992
CN,MERFISH_Brain_S4,R,Sta,0.34705854997469,0.454493132083787,0.0239236002377552,0.237894498207386,0.636309862136841,533.05859375,31508,374,11783992
GraphST,MERFISH_Brain_S4,Python,DL,0.380106282225825,0.503257348471238,0.0203159215768366,0.0255076787177329,401.946683168411,34356.41015625,31508,374,11783992
GraphSTwithPASTE,MERFISH_Brain_S4,Python,DL,NA,NA,NA,NA,NA,NA,31508,374,11783992
MENDER,MERFISH_Brain_S4,Python,DL,0.53858185316248,0.597519061863337,0.0218111310856301,0.0700730139956748,383.492833375931,1547.37890625,31508,374,11783992
NicheCompass,MERFISH_Brain_S4,Python,DL,0.431959610602558,0.555258901349506,0.0219752928176076,0.0791349744201899,707.468806028366,1438.33203125,31508,374,11783992
Spado,MERFISH_Brain_S4,R,Sta,0.573841270520406,0.596234646605742,0.0209325843503293,0.0477969441719787,4552.28938293457,7586.0384979248,31508,374,11783992
Banksy,MERFISH_Brain_S5,R,Sta,0.47300846754971,0.565029691368585,0.0271487530947402,0.23139727772637,30.0884146690369,173.192428588867,29371,374,10984754
CellCharter,MERFISH_Brain_S5,Python,DL,0.495571824503843,0.565935337036262,0.0236818094642181,0.141043052156576,766.405633687973,3559.88671875,29371,374,10984754
CN,MERFISH_Brain_S5,R,Sta,0.313049055155674,0.438005331003694,0.0247119928338473,0.234270124657443,0.51093864440918,526.95703125,29371,374,10984754
GraphST,MERFISH_Brain_S5,Python,DL,NA,NA,NA,NA,NA,NA,29371,374,10984754
GraphSTwithPASTE,MERFISH_Brain_S5,Python,DL,NA,NA,NA,NA,NA,NA,29371,374,10984754
MENDER,MERFISH_Brain_S5,Python,DL,0.449249182522345,0.559566830188077,0.0233665178511083,0.117851086564858,329.107380390167,1526.2421875,29371,374,10984754
NicheCompass,MERFISH_Brain_S5,Python,DL,0.461107863819677,0.538208686960666,0.0228435857145242,0.0967805072132225,753.070586919785,1440.40625,29371,374,10984754
Spado,MERFISH_Brain_S5,R,Sta,0.497600603850422,0.576353458034845,0.0216922176958239,0.0646573066043446,3600.12152719498,6592.71632385254,29371,374,10984754
Banksy,MERFISH_Brain_S6,R,Sta,0.595942819806097,0.645566212766649,0.0254591023155509,0.0650748225824237,27.4911487102509,152.895553588867,25907,374,9689218
CellCharter,MERFISH_Brain_S6,Python,DL,0.504370443503001,0.630120504220759,0.0221345448946389,0.037735666532209,1017.82994437218,3552.17578125,25907,374,9689218
CN,MERFISH_Brain_S6,R,Sta,0.327433375441029,0.459204378131996,0.0258659892715172,0.227475638398502,0.489058017730713,519.51953125,25907,374,9689218
GraphST,MERFISH_Brain_S6,Python,DL,NA,NA,NA,NA,NA,NA,25907,374,9689218
GraphSTwithPASTE,MERFISH_Brain_S6,Python,DL,NA,NA,NA,NA,NA,NA,25907,374,9689218
MENDER,MERFISH_Brain_S6,Python,DL,0.543164894406457,0.589995645156116,0.0230552323198184,0.066398655819159,225.816246747971,1467.72265625,25907,374,9689218
NicheCompass,MERFISH_Brain_S6,Python,DL,0.60327631720923,0.631749201059488,0.0234722605118223,0.0797973253921274,512.798457622528,1374.94140625,25907,374,9689218
Spado,MERFISH_Brain_S6,R,Sta,0.385902205452159,0.555109181631577,0.0228377989583615,0.0870439757100072,109.026730537415,5130.52396392822,25907,374,9689218
Banksy,MERFISH_Brain_S7,R,Sta,0.63621474583859,0.594662473507147,0.0223550156494899,0.062027559731457,30.9471189975739,193.220573425293,32792,374,12264208
CellCharter,MERFISH_Brain_S7,Python,DL,0.55911196537045,0.606186278055828,0.0229508381299043,0.207610183691529,948.437579870224,3584.08203125,32792,374,12264208
CN,MERFISH_Brain_S7,R,Sta,0.420450486971441,0.530382558252782,0.0217980630199545,0.158982969030955,0.535011053085327,534.18359375,32792,374,12264208
GraphST,MERFISH_Brain_S7,Python,DL,NA,NA,NA,NA,NA,NA,32792,374,12264208
GraphSTwithPASTE,MERFISH_Brain_S7,Python,DL,NA,NA,NA,NA,NA,NA,32792,374,12264208
MENDER,MERFISH_Brain_S7,Python,DL,0.716197085466904,0.653007675367751,0.0200916354021396,0.0509926720224934,307.516281366348,1563.60546875,32792,374,12264208
NicheCompass,MERFISH_Brain_S7,Python,DL,0.544287050331754,0.614686057745657,0.0211872380992742,0.103997945440601,1012.85973882675,1499.5859375,32792,374,12264208
Spado,MERFISH_Brain_S7,R,Sta,0.683374347821441,0.634585119781599,0.0194890414892834,0.0388974841391823,4602.14094877243,8216.38108825684,32792,374,12264208
Banksy,MERFISH_Brain_S8,R,Sta,0.740645795081831,0.693990636510843,0.0218426881879326,0.0594384511662969,37.1616537570953,225.716667175293,38338,374,14338412
CellCharter,MERFISH_Brain_S8,Python,DL,0.489808635203015,0.548988183655537,0.025498184246004,0.37122372482815,1015.94852399826,3578.4140625,38338,374,14338412
CN,MERFISH_Brain_S8,R,Sta,0.429880104039623,0.521480024341916,0.0216988641047942,0.168097642134452,0.556443929672241,546.40234375,38338,374,14338412
GraphST,MERFISH_Brain_S8,Python,DL,NA,NA,NA,NA,NA,NA,38338,374,14338412
GraphSTwithPASTE,MERFISH_Brain_S8,Python,DL,NA,NA,NA,NA,NA,NA,38338,374,14338412
MENDER,MERFISH_Brain_S8,Python,DL,0.664459346214638,0.617643823011787,0.0188297547120563,0.0170481796318097,414.46594953537,1668.62890625,38338,374,14338412
NicheCompass,MERFISH_Brain_S8,Python,DL,0.618124912120895,0.647968009915386,0.020146723820969,0.0806361552826408,1182.04157519341,1551.96484375,38338,374,14338412
Spado,MERFISH_Brain_S8,R,Sta,0.536010309554534,0.607381411607217,0.019822273131021,0.0818991501930722,249.672637462616,11227.4475708008,38338,374,14338412
Banksy,MERFISH_Brain_S9,R,Sta,0.55727600826028,0.606054243186939,0.0224157173208736,0.0688016006844469,32.8452751636505,199.525260925293,33868,374,12666632
CellCharter,MERFISH_Brain_S9,Python,DL,0.584505342177846,0.57532951621805,0.0239085651280422,0.218527975370069,1013.19541287422,3576.6484375,33868,374,12666632
CN,MERFISH_Brain_S9,R,Sta,0.337951158570102,0.446592718238726,0.0226971129208159,0.235614235275395,0.681657075881958,538.15234375,33868,374,12666632
GraphST,MERFISH_Brain_S9,Python,DL,NA,NA,NA,NA,NA,NA,33868,374,12666632
GraphSTwithPASTE,MERFISH_Brain_S9,Python,DL,NA,NA,NA,NA,NA,NA,33868,374,12666632
MENDER,MERFISH_Brain_S9,Python,DL,0.533996856361152,0.587477716387958,0.0206149977469392,0.0731484590502529,377.320841550827,1608.59765625,33868,374,12666632
NicheCompass,MERFISH_Brain_S9,Python,DL,0.615219606236058,0.619569749096414,0.0204242966798202,0.0718103086745726,1365.44668984413,1467.875,33868,374,12666632
Spado,MERFISH_Brain_S9,R,Sta,0.401735610976519,0.546353036784123,0.0202162201553258,0.0870751336672957,4917.86497235298,8763.98588562012,33868,374,12666632
Banksy,MERFISH_Brain_S10,R,Sta,0.491329905500105,0.57084767929697,0.0227099814237319,0.0515394028545861,29.6795308589935,165.774459838867,28105,374,10511270
CellCharter,MERFISH_Brain_S10,Python,DL,0.546684911363983,0.592219129320268,0.0211111827463568,0.0640191300368967,846.422449111938,3562.58203125,28105,374,10511270
CN,MERFISH_Brain_S10,R,Sta,0.375755382408648,0.503989301595405,0.0230431207273432,0.186082148937975,0.504847288131714,522.734375,28105,374,10511270
GraphST,MERFISH_Brain_S10,Python,DL,NA,NA,NA,NA,NA,NA,28105,374,10511270
GraphSTwithPASTE,MERFISH_Brain_S10,Python,DL,NA,NA,NA,NA,NA,NA,28105,374,10511270
MENDER,MERFISH_Brain_S10,Python,DL,0.565609150233303,0.625896505349054,0.0211220426734637,0.0620413120282628,254.521462678909,1487.359375,28105,374,10511270
NicheCompass,MERFISH_Brain_S10,Python,DL,0.602914719232698,0.631496455988479,0.0215748784207819,0.0805999457365315,678.474914312363,1396.56640625,28105,374,10511270
Spado,MERFISH_Brain_S10,R,Sta,0.50085068263429,0.585424242177384,0.020299844577568,0.0546088393989092,3423.73213982582,6037.62205505371,28105,374,10511270
Banksy,MERFISH_Brain_S11,R,Sta,0.658528827294184,0.676786178447709,0.0214609164486697,0.0294481465988528,28.7560927867889,170.754928588867,28955,374,10829170
CellCharter,MERFISH_Brain_S11,Python,DL,0.441233658219612,0.5538668420984,0.0248529263404785,0.203173836025406,854.141172647476,3584.3125,28955,374,10829170
CN,MERFISH_Brain_S11,R,Sta,0.384406157587477,0.491554904871339,0.0242255809008239,0.18167876304145,0.488621234893799,527.28125,28955,374,10829170
GraphST,MERFISH_Brain_S11,Python,DL,NA,NA,NA,NA,NA,NA,28955,374,10829170
GraphSTwithPASTE,MERFISH_Brain_S11,Python,DL,NA,NA,NA,NA,NA,NA,28955,374,10829170
MENDER,MERFISH_Brain_S11,Python,DL,0.593977909940297,0.602349643934764,0.0219790832879715,0.0605175038864554,267.447815656662,1517.8203125,28955,374,10829170
NicheCompass,MERFISH_Brain_S11,Python,DL,0.585244773925376,0.591954854627151,0.0236362438263899,0.118000989864,786.201028585434,1433.19921875,28955,374,10829170
Spado,MERFISH_Brain_S11,R,Sta,0.573920915566702,0.590368520794388,0.0215533709287145,0.0625060441813324,3638.34179735184,6407.45429229736,28955,374,10829170
Banksy,MERFISH_Brain_S12,R,Sta,0.588868686830975,0.645637781701899,0.01890930428261,0.0681789481297061,32.9807975292206,195.868209838867,33241,374,12432134
CellCharter,MERFISH_Brain_S12,Python,DL,0.642979179033771,0.651439264167652,0.0180734340338425,0.125862233504011,851.342835664749,3637.19921875,33241,374,12432134
CN,MERFISH_Brain_S12,R,Sta,0.301941019770332,0.44086979111497,0.0192441526967582,0.2602842834916,0.560491561889648,538.9609375,33241,374,12432134
GraphST,MERFISH_Brain_S12,Python,DL,NA,NA,NA,NA,NA,NA,33241,374,12432134
GraphSTwithPASTE,MERFISH_Brain_S12,Python,DL,NA,NA,NA,NA,NA,NA,33241,374,12432134
MENDER,MERFISH_Brain_S12,Python,DL,0.491462344393868,0.549445274068304,0.0170353557851379,0.0694876684611269,300.911769151688,1593.046875,33241,374,12432134
NicheCompass,MERFISH_Brain_S12,Python,DL,0.662074815748126,0.680533614472206,0.0172523882302222,0.0698157842440053,663.00456237793,1474.03515625,33241,374,12432134
Spado,MERFISH_Brain_S12,R,Sta,0.371082177984687,0.536421499479502,0.0166673975925931,0.062164493457531,4804.50788021088,8442.74118041992,33241,374,12432134
Banksy,STARMap,R,Sta,0.541572954640914,0.536058543778869,0.0723496845729208,0.0312868807427896,3.80724740028381,9.64664459228516,3190,166,529540
CellCharter,STARMap,Python,DL,0.678206599792278,0.630251643272096,0.0731173786858478,0.0486532528445695,150.847239255905,3356.546875,3190,166,529540
CN,STARMap,R,Sta,0.460964582322579,0.503861832177361,0.0754817416225182,0.0897391880184783,0.236167669296265,462.06640625,3190,166,529540
