model,datasets,Platform,Modeltype,ARI,NMI,CHAOS,PAS,Time,Memory,CellCount,GeneCount,AllCount,dASW,dLISI,ILL,bASW,iLISI,GC,slices_count
Banksy,BaristaSeq,R,Sta,0.606045489051295,0.612266359040291,0.0529508170718898,0.073195720076867,3.33315801620483,8.40976715087891,5257,79,415303,0.508467123843729,0.863623642921448,0.5023393,0.9154988,0.335756242275238,0.98198857957036,3
CellCharter,BaristaSeq,Python,DL,0.461128744504164,0.495519877623818,0.0645652123262037,0.212037006142488,54.3734300136566,3241.5703125,5257,79,415303,0.52633804269135,0.921330761909485,0.53022915,0.96198183,0.484704971313477,0.890190636654345,3
CN,BaristaSeq,R,Sta,0.477409056441665,0.566234420265515,0.0534022164998458,0.0942664492619016,0.312078475952148,984.1484375,5257,79,415303,0.497374672209844,0.72947039604187,0.49694118,0.9613919,0.701222777366638,0.391775254489702,3
GraphST,BaristaSeq,Python,DL,0.546907238591273,0.616532071816857,0.0504135520969832,0.0430626130360069,22.2614250183105,3916.22265625,5257,79,415303,0.508236308582127,0.872513842582703,0.5195035,0.9754098,0.765932440757751,0.976234182491286,3
GraphSTwithPASTE,BaristaSeq,Python,DL,0.607768056530718,0.649616675897356,0.0508228185512116,0.038435768701802,NA,NA,5257,79,415303,0.507776823826134,0.868994951248169,0.5182643,0.97759384,0.766650319099426,0.971412544718219,3
MENDER,BaristaSeq,Python,DL,0.700519090762032,0.713566879170289,0.0508896134478156,0.0188638782967334,16.8790667057037,981.28515625,5257,79,415303,0.559306934475899,0.992000889778137,0.5462834,0.9515514,0.33522629737854,0.861371129051101,3
NicheCompass,BaristaSeq,Python,DL,0.184902600855319,0.286534946311764,0.0664778719063142,0.362884187174231,23.7726690769196,805.3046875,5257,79,415303,0.480122605338693,0.843147397041321,0.4899844,0.7972247,0.350368440151215,0.903434559866479,3
PRECAST,BaristaSeq,R,Sta,0.111949343171467,0.119223088856003,0.0872101526158501,0.485431714971288,18.1547341346741,11.3144760131836,5257,79,415303,0.452742282301188,0.614914751052856,0.47156528,0.92977816,0.650979995727539,0.396569124154683,3
Spado,BaristaSeq,R,Sta,0.377436076114701,0.496649331021149,0.0486510773818289,0.0110033611647266,139.794903039932,213.46949005127,5257,79,415303,0.587394505739212,0.98653359413147,0.5891818,0.7476454,0.0558861494064331,0.891036012210717,3
SPIRAL,BaristaSeq,Python,DL,0.414295746553396,0.45149667426488,0.0727180139771552,0.323717164822742,1524.06,3516.77,5257,79,415303,0.51762860827148,0.873958349227905,0.5292153,0.96232957,0.732168078422546,0.741422927281068,3
STAIG,BaristaSeq,Python,DL,0.54422856318787,0.59429468429409,0.0546248984005211,0.104844001497707,96.0469856262207,1842.98828125,5257,79,415303,0.556044060736895,0.944684314727783,0.57627386,0.8417124,0.670040488243103,0.925482699535249,3
