ARI_Banksy,ARI_CellCharter,ARI_CN,ARI_MENDER,ARI_NicheCompass,ARI_PRECAST,NMI_Banksy,NMI_CellCharter,NMI_CN,NMI_MENDER,NMI_NicheCompass,NMI_PRECAST
ncluster:4,0.107406937930452,0.20391573409233,0.116534688571091,0.0612919157342597,0.21489163041103,-0.0159777700590483,0.165050974598039,0.291601770734705,0.223619218148217,0.125330892099198,0.267224034642912,0.0783876539774228
ncluster:5,0.13290113452188,0.194231863892227,0.170168487613559,0.175821172869869,0.257707396224865,0.0186512477664678,0.145692837578015,0.2960261564134,0.278627438083154,0.247593396371277,0.357266065708102,0.0785209401580812
ncluster:6,0.107406937930452,0.0343110682808327,0.116534688571091,0.204659097593976,-0.0260121184053106,0.0284375197922604,0.165050974598039,0.0918737163535322,0.223619218148217,0.221052550883048,0.0220439101068175,0.107960453014633
ncluster:7,0.128226494454695,0.174209941241861,0.116894358511159,0.109299343553233,0.116143543604948,0.00662389169210321,0.190386433008691,0.203805731693777,0.199053475797398,0.128377981084101,0.143884221173958,0.0721801162729733
ncluster:8,0.120149542348846,0.0347247058022105,0.143031953737146,0.109299343553233,0.116143543604948,0.0671423676200843,0.166285952725439,0.106974201919829,0.266893122651782,0.128377981084101,0.143884221173958,0.153447087027579
ncluster:9,0.18067771594966,0.0299377567310625,0.278394534585824,0.109299343553233,0.256213123547291,-0.0502578583053905,0.228108419342255,0.103093313966001,0.393477279985141,0.128377981084101,0.318816180431911,0.0650935568750776
ncluster:10,0.235863679368722,0.0875820925452449,0.116534688571091,0.109299343553233,0.00587191041922713,0.0174090824608141,0.276731406279872,0.126042374506335,0.223619218148217,0.128377981084101,0.0368910359994094,0.0501922753383906
Mean,0.144661777500672,0.108416166083681,0.151156200022994,0.12556708005872,0.134422718486714,0.0102897829953273,0.191043856875764,0.174202466512511,0.258415567280304,0.158212680527132,0.184287095605295,0.0865402975234511
SD,0.0472582652272432,0.0799252135053751,0.0597032734849145,0.0482543173112573,0.115065317630316,0.0366323973575215,0.0460751175569556,0.0896042503299229,0.0656737778076642,0.0525664830552757,0.133048593110254,0.0342867161816084
CV,0.326681076672264,0.737207525339761,0.394977337852051,0.384291147717155,0.855996061719945,3.5600748212238,0.241175603918624,0.514368436473817,0.254140176224089,0.332252022278713,0.721963698398159,0.396193648078426
