Accuracy,Ratio,model,datasets
0.61879464362443,0.0446659857063702,PASTE,DLPFC_sample1
NA,NA,STalign,DLPFC_sample1
0.276336904046694,1.74973964197883,Banksy,DLPFC_sample1
0.150344849348958,1.95459247100722,CellCharter,DLPFC_sample1
0.282871666897136,1.96098205914372,CN,DLPFC_sample1
NA,NA,GraphST,DLPFC_sample1
0.2364183557981,1.37912777123017,MENDER,DLPFC_sample1
NA,NA,NicheCompass,DLPFC_sample1
0.147897964142272,2.38399644450614,PRECAST,DLPFC_sample1
0.549010336786741,1.57172656085638,Spado,DLPFC_sample1
0.446842777638489,1.64940362504549,SPIRAL,DLPFC_sample1
0.257938769752448,2.16684165235658,STAIG,DLPFC_sample1
0.401047991337667,0.911965562808873,STAligner,DLPFC_sample1
0.843522858890208,0.124922181672262,SPACEL_Banksy,DLPFC_sample1
0.828459691869398,0.121983284709996,SPACEL_CellCharter,DLPFC_sample1
0.810008579740353,0.11370041810715,SPACEL_CN,DLPFC_sample1
0.237439245609615,0.79911165040058,SPACEL_GraphST,DLPFC_sample1
0.742984210179635,0.125343929937115,SPACEL_MENDER,DLPFC_sample1
NA,NA,SPACEL_NicheCompass,DLPFC_sample1
0.825784608879327,0.12745898188917,SPACEL_PRECAST,DLPFC_sample1
0.829421178540413,0.117214702867127,SPACEL_Spado,DLPFC_sample1
0.826105688080204,0.112122592580583,SPACEL_SPIRAL,DLPFC_sample1
0.838647835199691,0.123872030162199,SPACEL_STAIG,DLPFC_sample1
0.837682578263684,0.130853004197057,SPACEL_STAligner,DLPFC_sample1
0.813548591490424,0.0744269541713649,PASTE,DLPFC_sample2
NA,NA,STalign,DLPFC_sample2
0.854192366654514,0.274859547039886,Banksy,DLPFC_sample2
0.771455710831208,0.183253728471419,CellCharter,DLPFC_sample2
0.376470014010075,1.16512467430408,CN,DLPFC_sample2
0.791418497279064,0.117018236983662,GraphST,DLPFC_sample2
0.592990795794856,0.54946308539735,MENDER,DLPFC_sample2
NA,NA,NicheCompass,DLPFC_sample2
0.354183025774073,1.56384693472496,PRECAST,DLPFC_sample2
0.791586731872373,0.11657457192342,Spado,DLPFC_sample2
0.811080353525919,0.277779068496716,SPIRAL,DLPFC_sample2
0.727492252474986,0.286756658489291,STAIG,DLPFC_sample2
0.587257802981696,3.15828750614641,STAligner,DLPFC_sample2
0.869030832868331,0.190894391385183,SPACEL_Banksy,DLPFC_sample2
0.895887078013067,0.133726093783368,SPACEL_CellCharter,DLPFC_sample2
0.88900242903393,0.12369737445078,SPACEL_CN,DLPFC_sample2
0.80579590782252,0.111852231463932,SPACEL_GraphST,DLPFC_sample2
0.849499158915977,0.149687262750833,SPACEL_MENDER,DLPFC_sample2
NA,NA,SPACEL_NicheCompass,DLPFC_sample2
0.886968343407264,0.146260426782222,SPACEL_PRECAST,DLPFC_sample2
0.838402627532139,0.274728050461724,SPACEL_Spado,DLPFC_sample2
0.865593323297351,0.148805181904703,SPACEL_SPIRAL,DLPFC_sample2
0.84019330676847,0.161561053210323,SPACEL_STAIG,DLPFC_sample2
0.867391858210666,0.153360410982096,SPACEL_STAligner,DLPFC_sample2
0.846738946980023,0.0955791484696141,PASTE,DLPFC_sample3
NA,NA,STalign,DLPFC_sample3
0.572141073478476,0.396545397792592,Banksy,DLPFC_sample3
0.613613593822753,0.266451784446144,CellCharter,DLPFC_sample3
0.276000125380239,1.31740154403477,CN,DLPFC_sample3
0.757301706531121,0.150396950029439,GraphST,DLPFC_sample3
0.37292349656815,1.29363379409396,MENDER,DLPFC_sample3
NA,NA,NicheCompass,DLPFC_sample3
0.514078041549871,0.770259477046694,PRECAST,DLPFC_sample3
0.429396957058484,0.813792653061404,Spado,DLPFC_sample3
0.607085021046322,0.323788408924561,SPIRAL,DLPFC_sample3
0.53800668087097,0.443140765414233,STAIG,DLPFC_sample3
0.731961359942858,0.210809060164242,STAligner,DLPFC_sample3
0.876128728528412,0.102561075943724,SPACEL_Banksy,DLPFC_sample3
0.859736659022136,0.115312191786437,SPACEL_CellCharter,DLPFC_sample3
0.858157149949938,0.100064775847408,SPACEL_CN,DLPFC_sample3
0.745060815277186,0.156315239480977,SPACEL_GraphST,DLPFC_sample3
0.848748657099799,0.112241067136978,SPACEL_MENDER,DLPFC_sample3
NA,NA,SPACEL_NicheCompass,DLPFC_sample3
0.865204907935409,0.0962797986656064,SPACEL_PRECAST,DLPFC_sample3
0.860373178227118,0.0993933277857865,SPACEL_Spado,DLPFC_sample3
0.86736929922349,0.0934578615284843,SPACEL_SPIRAL,DLPFC_sample3
0.868479877062,0.0976014272428468,SPACEL_STAIG,DLPFC_sample3
0.868156403215967,0.103287896685575,SPACEL_STAligner,DLPFC_sample3
0.723266817019448,0.622595544956181,PASTE,MERFISH
0.236904719706462,10.6576987187358,STalign,MERFISH
0.317339950275849,1.0301130275497,Banksy,MERFISH
0.289287716501304,1.4716395694167,CellCharter,MERFISH
0.537960552459033,0.823938487758361,CN,MERFISH
0.193504898063522,1.28805099621216,GraphST,MERFISH
0.230777586266383,1.03370731446059,MENDER,MERFISH
0.282211034378769,1.2654285658558,NicheCompass,MERFISH
0.507347712205672,0.801016943040603,PRECAST,MERFISH
0.281606091666311,0.849877800589159,Spado,MERFISH
0.434129410587198,0.862069479167511,SPIRAL,MERFISH
0.217719382450615,1.67896809305112,STAIG,MERFISH
0.225968450481421,1.26357983375705,STAligner,MERFISH
0.761656168395268,0.66591422998415,SPACEL_Banksy,MERFISH
0.76191359158824,0.655825377766447,SPACEL_CellCharter,MERFISH
0.758854468920798,0.661080109414158,SPACEL_CN,MERFISH
0.754103074668666,0.668580313539183,SPACEL_GraphST,MERFISH
0.759678212608434,0.652695721730261,SPACEL_MENDER,MERFISH
